,combo 1,combo 1,combo 2,combo 2
,M,V,M,V
x,,,,
7.5,10.014140625000003,-3.3010937499999997,6.787500000000001,-2.125
7.6,9.661531249999996,-3.751093749999999,6.5589999999999975,-2.4450000000000003
7.7,9.263921875000001,-4.201093750000002,6.298500000000004,-2.7650000000000006
7.800000000000001,8.821312499999998,-4.651093750000001,6.006000000000004,-3.085000000000001
7.9,8.333703125,-5.10109375,5.6815,-3.405000000000001
8.0,7.80109375,-5.55109375,5.325000000000003,-3.7249999999999996
8.100000000000001,7.223484374999991,-6.001093750000003,4.936499999999995,-4.045000000000002
8.2,6.600875000000002,-6.451093750000002,4.516000000000005,-4.365
8.3,5.933265624999997,-6.901093749999998,4.063499999999998,-4.684999999999999
8.4,5.2206562499999976,-7.35109375,3.5790000000000006,-5.005000000000001
